name,user rating,user review,is_valid,negative,neutral,positive,compound
Enola Holmes,2.0,i think i am a... what do they call it? um... a flat? i think they call it a flat earther! anyway.... yeah. 🎶 are we riding... say you'll never ever leave from beside me 🎶,True,0.0,0.9,0.1,0.4588
Amélie,5.0,ok we NEED to go to paris 📱,True,0.0,0.784,0.216,0.296
Pleasure,4.5,"SUNDANCE 2021: film #32
“you won’t find anyone like me”
i’m completely floored. i’ve been terrified of watching this the entire festival, fearing the worst, and while this is an extremely difficult watch in terms of both sex and sexual assault/violence i never once felt that we weren’t supposed to have empathy for the protagonist in those situations. sofia kappel (in her first acting role ever) is magnetic and perfectly cast, and behind the camera ninja thyberg masterfully maps out every scene. together they made this intense as wildfire, both beautiful and dangerous, something that i couldn’t tear my eyes away from even when they began to water and burn
the unflinching look at the sex industry is deeply unsettling but also normalizes it for women in a way that i haven’t seen properly portrayed in such a film before. it shows situations with high professionalism where consent and respect are key, and then flips the script to address the pressures of being the only woman on a risky set that takes a horrifying turn. the balanced perspective keeps this realistic as we follow the lead from quiet daily routines to glamorous slow motion photoshoots. it explores broad themes like ambition, friendship, trauma and power while also making it clear that the industry has plenty of toxic sexism and racism at its core. the protagonist chooses this path for herself and we witness her contemplative moments of doubt and fear, but she controls her life and chooses it again and again. it isn’t meant to seem like a mistake or a tragedy but instead a choice. her relationships with the women around her are the most complex and interesting by far, the competition and power struggles providing one of her most intricate hurtles. one of my only problems with the film is the lack of perspective from women of color and/or trans women, this focusing on a white woman who chooses to join the glamorous and famous side of the industry instead of a woman who might have less of a choice or is much more at risk. besides that i can’t think of much else i would criticize (for now) except for how far it pushes boundaries, but without that i feel in this case like it would lose authenticity and purpose 
the second the film ended i couldn’t dive into the q&a fast enough, making it the only one of the fest i truly sought out. and watching it only solidified my fascination with the film as the director addresses different aspects of it with a clear perspective. about bella’s desire to join the sex industry, ninja said she didn’t want to psychoanalyze the character and try to delve into “what’s wrong with her”, this decision lets the protagonist choose her line of work free of prejudice from the filmmaker (and audience) standpoint. and about the choice of music (which is a mix of opera/hip-hop, all original for the movie i assume because i desperately tried to find the songs afterwards and had no luck), the director compared society viewing women singing opera to be the highest form of art, (with porn being the lowest), and wanted to merge the two, “opera is women moaning, but it’s fine art”. comments like these gave me more confidence in the film overall, the intentions behind it clearly purposeful and full of agency and respect in regards to sex work while also staying critical about the internal problems within the industry
whew, i had a lot to say about this, but it still feels like i’m only scratching the surface. this is most definitely not for everyone. it’s absolutely fucking relentless, but i also found it to be made with a deep level of respect, empathy and intelligence as well. not everyone will feel this way about it, that i already know for sure. this feels to me like a perfect example of an uncomfortable film being rewarding and artistic underneath. i hope it gets picked up so you can choose if you’d like to see it for yourself",True,0.118,0.72,0.162,0.9884
Misha and the Wolves,3.0,"SUNDANCE 2021: film #31
“what else might not be true?”
giving this a modest 3 stars, because while i was fully engaged the whole time i doubt i’ll ever return to it again. not as shocking as other twisty docs i’ve seen but an intriguing story for sure, i recommend it if you know nothing about the story and love this kind of documentary style",True,0.043,0.754,0.203,0.924
Jockey,2.0,"SUNDANCE 2021: film #30

“i feel like i robbed myself of something wonderful” 
very much a Horse movie but through an indie lens, and if i cared more about that specific combination of things i probably would have really liked it. some gorgeous shots of the sunset and a few thrilling races, but besides that... eh. i’m good",True,0.0,0.693,0.307,0.9753
Hive,2.5,"SUNDANCE 2021: film #29
“you made a mistake”
intimate and compact. the performances are grounded and the score is wonderful, but it doesn’t go much beyond that for me",True,0.0,0.923,0.077,0.3291
The Blazing World,1.0,"SUNDANCE 2021: film #28
“the only way out is in”
coraline for girls with trust funds. thinks it’s suspiria but feels more like the rugrats all grown up version of that mary kate and ashley movie double double toil and trouble. glossy and ambitious as hell but often can’t find any clarity because of it, and the aesthetics are rad but they don’t amount to anything at all underneath surface level. also it took about fifteen minutes for me to decide that this girl looks exactly like 50% kate mara and 50% alison lohman",True,0.087,0.765,0.148,0.704
Try Harder!,3.5,"SUNDANCE 2021: film #26
“there’s no formula for success anymore”
a breezy and delightful watch, this was especially fascinating to me because i was homeschooled for high school and missed out on the typical stress of college applications. and the last scene is so joyful, it has to be one of my favorite endings of the festival",True,0.093,0.618,0.289,0.9537
Judas and the Black Messiah,4.0,"SUNDANCE 2021: film #25
“takes a thief to catch a thief”
SO well made. the performances here are on another level and all merit mentioning but i think my favorite was dominique fishback who brings both vulnerability and strength to the role. my money is on daniel for the oscar",True,0.074,0.72,0.205,0.8393
Life in a Day 2020,3.0,"SUNDANCE 2021: film #24
“isn’t that enough?”
wanted to check this out for the editing and that didn’t disappoint. for something like this it’s all about the art of the edit, because good montage editing can convey love, hate, joy, despair and humanity itself, tying themes together to spark emotion. and those sequences did often give me goosebumps, but otherwise i wasn’t as invested in this or moved by it like some will be. i would love to edit something as ambitious as this one day",True,0.056,0.72,0.224,0.9552
Wild Indian,3.5,"SUNDANCE 2021: film #23
“i want him to be normal. and good”

carefully deals with abuse and regret with empathy. it’s a bleak watch but made with confidence, i wish the last act was as strong as the build up but it was still rewarding. i can feel this one haunting me already",True,0.101,0.623,0.275,0.9231
Prime Time,4.0,"SUNDANCE 2021: film #22
“let’s offer entertainment to people! the viewers are waiting!”
oh yeah, i dug this. i love love love films that make smart use of confined spaces and keep developing the plot in interesting ways, and this did just that. it’s not as exciting as you might think but that works for me, instead delving a bit into individuality vs commercialism but usually keeping a more intimate closer eye on the present moment. it just earns a 4 because bartosz is so fucking good",True,0.018,0.779,0.203,0.9475
Land,2.5,"SUNDANCE 2021: film #19
“thank you. thank you”
we’ve seen this story many times, and yet this still often manages to be a calm exercise in patience, and sometimes momentarily even reaches tranquility. robin is about as good a director here as she is an actor (i’ll let you decide if that’s a good thing or a bad thing), but even her skills can’t fully save this from the mundanity of it all. the bond her character makes with a kindhearted hunter is the best aspect of the film, and i will say that the score is a definite highlight for me and one of my favorites of the festival so far. and for all those yearning for a secluded retreat during this past year: here’s one to live vicariously through. moms everywhere will love this",True,0.014,0.72,0.266,0.9906
Mayday,3.0,"SUNDANCE 2021: film #18
“it wasn’t a very good story. so i’m giving you a new one”
this was so frustrating for me. a girlboss daydream in the vein of sucker punch and alice in wonderland, but not as wild as the former and not as dreamy as the latter. the first act was really alluring, the vaguely simplistic world building and lack of explanation works in its favor, but eventually that becomes its downfall. so basically: it totally lacks purpose and ends up feeling pointless. i’m adding points for the nice atmosphere it offers, the very decent first act, and honestly half a star for mia goth alone because... well... she’s mia goth. this was her biggest bait yet and she got me hook line and sinker. thanks mia",True,0.111,0.739,0.151,0.8028
Marvelous and the Black Hole,3.5,"SUNDANCE 2021: film #17
“sammy... try again”
a much needed respite from the more intense kind of films i’ve been marathoning. light and familiar but full of optimistic wisdom, none of the concepts are quite new but feel fresh and deliver on charm. this gave me exactly what i hoped it would",True,0.0,0.71,0.29,0.9568
Coming Home in the Dark,3.5,"SUNDANCE 2021: film #15
“just a happy coincidence”
damn... this was brutal: super well executed but hard to stomach, and so effective that if i close my eyes i can almost hear the audience exhaling in unison when it cuts to black",True,0.161,0.622,0.217,0.617
How It Ends,2.0,"SUNDANCE 2021: film #12
“the only assignment is death!”
this is like... not good. i needed something to watch while i ate the food i had delivered (it was chick fil a :/) and it was perfect for that but not actually a good movie otherwise. it operates more like a social experiment thinly disguised as a movie, a bunch of weird comedy bits drenched in some casual existential dread but that’s definitely the point so it’s chill. WOW it’s gonna be weird to go back and watch all these covid movies in like a decade LMAO. also a quick ranking of my favorite cameos: 3. dennis from sunny 2. charlie and the waitress from sunny and 1. olivia fucking wilde baby. ok i’m done now",True,0.091,0.627,0.282,0.9887
Passing,3.5,"SUNDANCE 2021: film #11
“things aren’t always what they seem”
i was totally convinced that i loved this until it ended and i actually started weighing it properly. it begins so strong but as it becomes more introspective the narrative in turn got a bit lost. that’s not a bad thing, there are a lot of things worked into the script that work really well as separate pieces and conversations until they start to dissolve together (for better or for worse). the performances are amazing (unsurprisingly), ruth and tessa especially, and the cinematography is exquisite. the ending, however, i’ll have to think on for a while to really figure out how i feel about the movie as a whole. this rating feels accurate while i let it sit, only time will tell",True,0.046,0.803,0.15,0.9421
Human Factors,3.0,"SUNDANCE 2021: film #10
“we were just unlucky this time”
less of a thriller and more of a drama about family dynamics with an occasional thrilling edge to it. moments of tension would grab my attention and reminded me a bit of force majeure, but then the tone would dip back down and i’d lose interest for a while. still pretty solid, just not exactly what i was expecting",True,0.064,0.754,0.182,0.8187
Street Gang: How We Got to Sesame Street,3.5,"SUNDANCE 2021: film #9
“we’re trying to sell the alphabet to preschool children”
i laughed, i cried, i learned, and what more could i possibly want from a documentary about puppets?",True,0.074,0.802,0.123,0.1779
Flee,4.0,"SUNDANCE 2021: film #8
“i have no one. i’m all alone”
devastatingly tender and completely singular, this was clearly made with a lot of care and it shows. the animation is beautiful but it never overpowers the story, instead the two intertwine and flow together to create a moving final product. i really recommend this one, i almost missed it myself",True,0.087,0.749,0.164,0.6683
Knocking,3.5,"SUNDANCE 2021: film #7
“someone needs help. i think someone needs our help”
knocking (ha ha) off half a star for giving in a bit too much to the mental illness trope, but otherwise i was totally captivated by this. it’s a tight story that reminded me a bit of the guilty (it’s 2am so i can’t pinpoint why, just the intensity i guess?), the camerawork is fresh and it plays up the psychological horror until it spills over into despair. but that works, and the ending does too. this was a nice surprise (especially because it was my FIFTH movie of the day. whew)",True,0.107,0.742,0.151,0.5632
On the Count of Three,4.0,"SUNDANCE 2021: film #6
“stop standing in your own fucking way”
i’m giving out a lotta 4 star ratings recently but in my defense i’m just following my heart. honestly this was an impressive directorial debut: it’s sharp and to the point, tackles a lot of difficult subjects that are usually hard to translate on screen and the humor still almost always lands (at least for me). that being said, it sometimes stalls out and even veers off course, but for a film that’s under 90 minutes i don’t mind an occasional hiccup or two. (and! christopher abbott is still on a roll, we love to see it)
suicide tw
(note: this film has a lot to do with suicide so please be wary and skip it if that’s a triggering subject for you in the slightest)",True,0.1,0.723,0.177,0.9218
John and the Hole,3.5,"SUNDANCE 2021: film #5
“this is your life. you get to make your own decisions now”

holy shit. this was like home alone reimagined by yorgos lanthimos with some haneke thrown in, and believe it or not i drafted that sentence before the q&a moderator said almost exactly that. it’s minimal and maybe even pretentious in a way that some people will despise, but (at least initially) i really fucking dug that. this one is going to spark a lot of fun conversations",True,0.06,0.833,0.106,0.6369
I Was a Simple Man,2.5,"SUNDANCE 2021: film #4
“dying isn’t simple, is it?”
it might just be my mood but this was too vaguely  cerebral for me to align with its rhythm and ended up feeling a too long as a result. i really appreciate what i saw in this: it’s gorgeously shot with some wonderfully tender moments throughout, but besides that i never really felt connected to it. (and yes, constance wu is amazing as per usual, this being the most thoughtful performance i’ve seen from her yet)",True,0.0,0.735,0.265,0.9836
Homeroom,3.0,"SUNDANCE 2021: film #3
“at this moment i really don’t know what’s going to happen. there’s no way you can cope, you just go on with it”
a film that rests solely on the shoulders of a group of high school seniors, and they carry it with bold perseverance. the school year begins with high energy and ambition, then slowly morphs into an intimate look at some of the most challenging months in recent years. because of the shift it thankfully feels more organic than other covid-related projects and also focuses a lot on police presence, brutality and the blm movement through the eyes of the students and how they navigate it all. narratively speaking, it’s a little too wide in scope for me to feel very moved by it, but i was also never bored. this was a pretty solid doc",True,0.027,0.874,0.099,0.8409
Censor,2.5,"SUNDANCE 2021: film #2
“you’d be surprised what the human brain can edit out when it can’t handle the truth”
i had enough fun with this but it’s already losing steam the more i think about it. feels like the kind of midnight movie i’d see with friends and when exiting the theater we’d glance at each other as if to say “was that worth it? at this hour?” but none of us want to admit that it wasn’t. it’s a bummer because i really liked the vibes at first but eventually ambiguity just overpowers it and that’s never really been my thing when it comes to cool artsy horror movies. i’m not flat out saying it’s bad because this is definitely a film that some people will love, i am just not one of those people",True,0.104,0.708,0.188,0.9248
CODA,4.0,"SUNDANCE 2021: film #1
“i’m happy that you know who you are”
what a nice way to start this festival: i can’t imagine a more pleasantly accessible way to frame a film like this. it keeps a down to earth handle on the complex subject matter with respect and self awareness while also maintaining a light touch when it comes to the genre it occupies. it’s not perfect but was surprisingly comfortable, very warm and funny and enjoyable to watch. and i cried! it’s definitely cheesy at times but i think it works in this instance, the emotional core is so solid that by the ending it totally won me over. it might also feel too safe for some people (a few scenes felt a little too glee for my taste), and strays a little sometimes when it comes to plot, but i was charmed and would be delighted if mainstream audiences embraced it. upon release i think i would recommend this to almost anyone",True,0.025,0.663,0.311,0.9958
50 First Dates,4.5,excited to announce the long awaited addition of 50 first dates into the rom-com hall of fame... everyone clap,True,0.049,0.714,0.237,0.6369
Host,3.5,this free meeting has ended. thank you for choosing zoom!,True,0.0,0.568,0.432,0.7263
Clueless,5.0,i don’t know a funnier script. i DON’T ✋ KNOW a funnier script,True,0.0,0.561,0.439,0.8225
Thelma & Louise,4.5,this was a little TOO good... how did they do that,True,0.0,0.792,0.208,0.3862
Some Kind of Heaven,3.5,"both comforting and unsettling in equal measure, and gorgeously shot so those feelings were amplified even more. i didn’t know much about this strange florida community until checking this out and it packs a lot of interesting information in while thankfully staying super personable instead of overwhelming and cold. the last act slowed down a bit too much for me, but the ending definitely made up for it",True,0.02,0.8,0.18,0.882
Pretend It’s a City,,oh to be funny and grumpy for a living,True,0.0,0.734,0.266,0.4404
But I’m a Cheerleader,5.0,"i’ve probably seen the original cut of this movie over a dozen times, and it’s only gotten better since the first time i stumbled upon it. but for perspective, this review is focused on the new director’s cut because (and i’m surprised to say) it kind of rules
the first thing i have to mention is the COLOR: it POPS! the original quality always felt a little lacking and never seemed to be in hd (no surprise considering the time it was made), so this remaster thankfully boasts not just overall quality and sharpness but a beautiful boost in saturation. the pinks and blues are more gorgeous than ever, as are the rest of the colors of the rainbow. i was almost distracted by it in the best way, it feels like the original vision finally coming to light
and about the director’s cut itself: there are numerous deleted scenes and even a few scene extensions. for the deleted scenes, jamie babbit said she was nervous that people would be bored if it was too long, so she cut scenes that she always loved (including but not limited to a guitar sing-a-long of megan’s “god is good, god is straight” cheer, and an informational video welcoming her to true directions. a part of me thinks that was zachary quinto’s voiceover during that bit?? i could be completely wrong!) and for the extended scenes, the director has spoken a lot before (namely in the documentary this film is not yet rated) about the mpaa initially (and unjustly) slapping an nc-17 rating on the film for a few shots in the sex scene, which i noticed here seems to be back in original form. a lot of various other scenes are extended and with all those small new pieces working together it just feels a lot more complete as a film
so with that i really recommend checking out this version, even if you’re seeing this movie for the first time. i’m a big fan of the original but this just made it even more enjoyable for me, which is something i didn’t see coming considering how minor the changes seem in scope. it’s definitely one of the only films that continues to grow on me with time, and this only helped with that",True,0.048,0.746,0.205,0.9974
The Girl with the Dragon Tattoo,5.0,"ok ok i’ve finally decided... i consider the social network to be the best fincher, but this is absolutely my favorite fincher. it took me like a decade to figure this out btw (also i’m sorry to gone girl, you know i love you too)",True,0.025,0.647,0.328,0.9573
The Social Network,5.0,"the best fincher, the best sorkin, the best eisenberg, the best garfield, the best reznor & ross, the best, the best, the best...",True,0.0,0.309,0.691,0.9887
The Lord of the Rings: The Return of the King,5.0,[fleabag voice] this is a love story,True,0.0,0.588,0.412,0.6369
The Lord of the Rings: The Two Towers,5.0,and for this letterboxd installment i’d like to only discuss the 10 second clip of legolas SURFING down a full flight of STAIRS on a SHIELD while RAINING down arrows on uruk-hai... that’s real! and it took a lot of self restraint not to write that in all caps because i’m so psyched about it,True,0.0,0.951,0.049,0.4199
Wild Strawberries,4.0,"i thought this was going to be a bit more cheerful (wishful thinking, in my defense i was trying to sell it to my dad) but should have known better because this was almost all melancholy. that really sums up the year though, doesn’t it",True,0.066,0.79,0.144,0.4703
House,4.5,i might be kinda drunk right now but honestly i think that only made this better,True,0.067,0.562,0.37,0.8405
Portrait of a Lady on Fire,5.0,"i’ve put almost a year of distance between this film and myself, wanting the next viewing to hit as hard as the first did. and last night when i was upset and needed a specific type of consoling, i knew immediately what i had to watch. i’m saving my next long string of thoughts on this for another time, but i’m glad it’s already aging beautifully",True,0.041,0.837,0.122,0.8422
Promising Young Woman,2.0,"the outer layer is a bright candy coated shell, but peeling that back reveals the inside as hollow. i don’t have negative feelings about the ending (or the film as a whole) the way some do, actually i enjoyed it until it was almost over. but then the bad taste it left behind immediately started creeping in. as a complete picture it just feels like a bunch of gotcha moments that lack a certain kind of empathy for the subject matter. the ending solidified my problems with it, bringing such potential together for just another bigger gotcha moment. it’s bold, and i dig that, but surely justice can be doled out with a little hope still attached. without that hope it just feels too cruel for my liking
all that being said, carey mulligan was so solid here, she never gives a bad performance. and i’ll throw this in just because it’s on my mind: the assistant, which came out this year as well, feels to me like the antithesis of this (and of something like bombshell) in the best way. i highly recommend it for a different approach to this kind of story",True,0.097,0.676,0.227,0.9845
Wonder Woman 1984,2.0,...at least the posters are nice,True,0.0,0.641,0.359,0.4215
The Family Stone,3.5,rachel mcadams is so cute and mean while she wears a dinosaur jr shirt and carries an npr tote... merry christmas to ME!,True,0.0,0.733,0.267,0.8252
Home Alone 2: Lost in New York,4.5,fun fact! the booby traps in the home alone franchise inspired the new french extremity movement,True,0.092,0.597,0.312,0.6996
Home Alone,4.5,GO EASY ON THE PEPSI,True,0.0,0.58,0.42,0.4404
One Night in Miami…,3.5,"“this is one strange fuckin’ night”
took me a little while to fully jump on board with its style of storytelling, but the group dynamics really pulled me in. especially impressive is each duo and how they interact when isolated from the rest. having an awards season convention without these brilliant performances just isn’t feasible",True,0.123,0.71,0.167,0.6226
Freaky,3.0,"unfortunately i’ll now be thinking about the “clam jam” line for as long as i live, thanks!",True,0.117,0.728,0.155,0.2003
The Queen’s Gambit,,anya taylor-joy single-handedly making chess cool and sexy... everyone say thank you,True,0.0,0.523,0.477,0.802
Saint Maud,4.5,"“nothing worthwhile comes easily”
my jaw dropped at least a dozen times. ALL HAIL",True,0.0,0.73,0.27,0.5319
Black Bear,3.5,"“i’ve been lying since the second i got here”
i’m so fascinated with this, but right now that fascination is all i know for sure. this is layered in such a particular way that makes me feel in this moment like i’m missing something that’ll click into place naturally with time. i’m hoping that’s the case, because the potential is all there, i just have to think on it. and honestly, it’s good i need time to process because i can’t say much more without giving things away
but two little things before i click save: 1. go in knowing as little as you can, and 2. aubrey really is THAT good",True,0.048,0.715,0.237,0.9823
Ordinary Love,3.5,"“but we’re all just really... just on our own”
uncommonly lovely, which is even more impressive considering the subject matter is so bleak. this was genuine from the first moment to the last, and i felt it in every moment in between",True,0.0,0.821,0.179,0.8173
Shithouse,3.0,when the sad boy said “and i really think you’re the best actor of all time” to dylan gelula... he was so right,True,0.11,0.742,0.148,0.2732
Sorry We Missed You,4.0,"“maybe your best isn’t good enough, is it?”
absolutely crushing and achingly real. there are moments of true tenderness here surrounded by a lot of daily sorrow, but the balance is still just right. i would definitely call this a must see of the year, but have a box of tissues on hand just in case",True,0.06,0.703,0.237,0.9022
Booksmart,4.5,ONE TIME I THREW UP AND MY MOM CAUGHT IT IN HER HANDS CAUSE SHE LOVES ME 😭,True,0.121,0.705,0.174,0.3254
Happiest Season,4.0,if i could go back in time and tell my younger self that one day i’d be watching something like this with my dad while we made a holiday dinner... i wouldn’t have believed it,True,0.0,0.864,0.136,0.6369
The High Note,3.0,"dakota johnson, just in case you’re reading this, please know that i would give it all up for you. i would buy so many limes just to make you happy",True,0.0,0.816,0.184,0.745
Happiest Season,4.5,this was one of the most joyous experiences i’ve had all year and no i’m not joking in the slightest,True,0.153,0.673,0.174,0.3668
Run,4.0,"in today’s world this feels like a familiar story, echoing both fiction like sharp objects and real stories like gypsy rose blanchard, but that familiarity doesn’t make it any less potent here. i was skeptical, not wanting to indulge this worn out plot that seemingly exists only to mystify and thrill able bodied audiences. but i’m excited to say that’s not exactly what i found in this case
my first discovery here was that newcomer kiera allen acts circles around sarah paulson. the latter is clearly the selling point, her name all over the advertising in big bold letters, “look at sarah paulson go, look at her cry, look at her scream”, fleshing out the kind of sadistic and melodramatic role that she’s best at. but seeing a real wheelchair user maneuver nightmare scenarios and experience all levels of terror was something i’ve never really experienced before. and i’m not gonna lie, it makes all the difference for me. this isn’t just joey king wearing big glasses, or kevin mchale climbing out of his prop wheelchair in a dream sequence to dance. this is someone that pushes off walls with her arms in tight spaces and rounds sharp corners on a dime. does being disabled make her a good actor? of course not, but the good news is that she is a good actor. the whole movie rests solely on kiera allen’s shoulders, and she carries it boldly and independently while sarah pounds on the door outside
i don’t talk about my disability all that often in online spaces, only truly out of habit because these online spaces have been my biggest escape from the limitations that come with being disabled in the real world. but seeing fragments of yourself represented on screen when you so rarely are is a powerful feeling, like gasping for air when you didn’t realize you were being held underwater. on it’s own, this film is a thrilling enough ride, aptly made and successfully placing us in the shoes of the main character, fearing sarah paulson like we’re so used to doing. but the choices made with casting (and small specifics in things like writing and set design) changed the overall feeling for myself and possibly for others like me who relate to these particular struggles. for able bodied audiences they might as well be watching a slasher film, or any b-movie thriller. but every day i face small obstacles like some of the ones shown here: a staircase laid out in front of me as if to taunt me, or a set of front wheels buried deep in mud. can’t get out of a car unless the person i’m with gets my chair out for me, and even in the best scenarios that can still feel crushingly isolating and even momentarily scary at times
does a part of me wish the story here was a bit different? of course i do. but there’s something to be said for small change happening slowly with stories that we’re already well aquatinted with. yes, on the surface this is just a mother-daughter thriller, but the brilliant performance by a disabled actor makes it shine. and yes, a movie like the upcoming happiest season is just a safe holiday rom-com, but the lgbt representation might make all the difference for a community that has never seen itself in that beloved and comforting sub-genre, just like i’d never seen a real life disabled final girl until tonight, and didn’t even realize how much i wanted to. not everything has to be a grand movement, a monumental shift that shakes us to our core with bold statements and unique outlooks, no matter how much we desire that as soon as we can get it (or create it ourselves). small steps leave a softer but lasting impression, something that might not make waves with its originality but will quietly stick with those who relate to it. and some people can mock cries for representation in media if they like, but the reality is that until we’re all able to see ourselves on screen (and behind it) we won’t all be able to fully grasp the real power of visual storytelling and what a welcoming relief it is to be able to relate to it",True,0.051,0.761,0.188,0.9989
Charlie’s Angels,4.5,NO! 😭 the chad was Great 😁,True,0.151,0.488,0.361,0.6476
Trick ’r Treat,5.0,yeah... anna paquin has an oscar,True,0.0,0.694,0.306,0.296
Insidious,5.0,insidious talking about the conjuring: she’s a cute girl! you know.. cute next to gorgeous... gorgeous is gonna you know... devour cute!,True,0.0,0.492,0.508,0.9558
Halloweentown,4.0,their mom is literally a whole witch and was like “please god let my children grow up to be accountants” 😭 why would you wish that mundanity on them woman,True,0.14,0.677,0.183,0.1779
Disturbing Behavior,5.0,this is one of the best shitty teen movies of all time and i’m raising my rating to 5 stars,True,0.14,0.698,0.163,0.1531
Circle,4.0,unfortunately perfect election season viewing,True,0.264,0.33,0.407,0.3182
Hocus Pocus,5.0,farewell mortal bus boy 👋,True,0.0,0.61,0.39,0.4939
Sleepaway Camp,3.0,angela is like that’s me 🙋🏻‍♀️ i don’t have shit to say to anyone lol,True,0.12,0.598,0.282,0.5994
Imagine Me & You,4.0,stumbling upon this for the first time as a teenager was like oh? and then revisiting it a few years later was like ...OH,True,0.0,0.815,0.185,0.6124
The Hole,3.5,"yes it’s true, i have a new submission to the She Did That hall of fame",True,0.0,0.607,0.393,0.8126
Wildland,4.0,"AFI 2020: film #16
“but for some people things go wrong before they even begin”
finished the fest with less films than planned but glad to be ending on this, bleak as it is. a subtle examination of complex family dynamics, the loyalty we’re born with even when it’s not familiar, even when it’s wrong. i was always invested in it here, the push and pull of the family business intertwined with their personal lives and driving their every move, both the good and the bad. by the final scene it’s a clear portrait of devotion in the blood and how sometimes you can’t buy (or cut ties with) a bond that strong",True,0.095,0.715,0.19,0.9382
Borat Subsequent Moviefilm,2.5,"when laura dern facetimes into the academy awards livestream on april 25th, removing her mask to tenderly announce 'and the oscar goes to... jeanise jones in borat 2'",True,0.0,0.818,0.182,0.7003
Apples,3.5,"AFI 2020: film #14
“a lot of people have forgotten”
i thought i was ready for whatever this threw at me, but somehow wasn’t expecting a subtle character study. it feels like a yorgos, but with a much lighter touch, more reminiscent of alps than anything else. i was fully engaged with it all, but it still didn’t give me enough, ending as simply as it began. i dig this concept more than i love the outcome
(i do have to add that the titanic reference made me yelp because of how some of the dialogue is phrased: “i cried my eyes out the other day. have you seen this movie?”)",True,0.027,0.851,0.122,0.915
Fireball: Visitors from Darker Worlds,3.0,"AFI 2020: film #13
“so, yeah. we’re all stardust”
thought provoking and miraculous, though a little too slow for my taste in docs. one of the biggest takeaways is learning just how much werner herzog loves the movie deep impact",True,0.04,0.828,0.132,0.6249
Wolfwalkers,4.0,"AFI 2020: film #10
“there’s two of us now”
absolutely delightful. some of the plot points can easily be guessed just like most family films, but the animation is gorgeous and the loving warmth radiates off every frame like the sun",True,0.0,0.585,0.415,0.9753
Sleep,2.5,"CIFF 2020: film #2
“you know when you wake up and your dream is still there?”
i was very on board with this for about the first half, and then it kinda stalls out. with more clarity i might have liked it a lot more, but i get what it was going for",True,0.0,0.903,0.097,0.5262
The Columnist,4.0,"CIFF 2020: film #1
“you know what? it isn’t hard to be kind”
oh this was FUN and probably the best portrayal of social media paranoia (and anger) that i’ve seen. i feel like i say this a lot now but i’m gonna say it again, this would have been a blast with a festival audience",True,0.077,0.751,0.171,0.7973
Shadow in the Cloud,0.5,"AFI 2020: film #9
“you have no idea how far i’ll go”
yeah just kidding i can’t actually review this hfkshfksh",True,0.092,0.756,0.151,0.1027
There Is No Evil,4.0,"AFI 2020: film #8
“your power is in saying no”
had to wait for the right mood to attempt this, and that decision really paid off. every one of the four short stories here are told slowly, but fiercely. after the first reveal (a particularly brutal - but brilliant - choice of editing) i was hanging on every word. each tale has stronger storytelling than most feature films i encounter, and the themes that weave them together are chilling and universal",True,0.078,0.829,0.093,0.3314
Jumbo,3.5,"AFI 2020: film #7
“he just makes me happy. that’s all”
a film about the brunette from portrait falling in love with a fun fair ride is the first of the fest to make me cry. beautifully shot and convincingly emotional, sometimes this runs a little off the rails but i stayed with it. and viewing it as a metaphor for homosexuality makes it even better",True,0.043,0.724,0.233,0.9136
Sound of Metal,4.5,"AFI 2020: film #5
'today is not a good day”
one of the most devastating parts of life is not being able to get back to a happiness you once had, especially if it involves people you love. feeling that joy slipping through your fingers, time cannot rewind and only moves forward, and without your consent. relentlessly, painfully. adapt or die. this is a crushing look at that fight against time and change, but it's also hopeful, and eventually peaceful. the sound design was incredible and the hardcoded subtitles were such a smart move. one of the most essential and fitting movies of 2020",True,0.112,0.721,0.167,0.8695
76 Days,3.5,"AFI 2020: film #4
“let’s not panic, ok?”
perhaps too potent a viewing in 2020, but expertly made and often so emotional. the bare essence of this is people taking care of people, and that sole theme makes this feel almost comforting despite all the trauma",True,0.0,0.733,0.267,0.9317
Whirlybird,4.0,"AFI 2020: film #2
“people are voyeurs. they are fascinated with violence”
both a large scale whirlwind action piece about breaking news coverage in LA, and an intimate look at family, identity and even abuse. this finds an interesting balance between the worlds and blends them together seamlessly, but the outcome might be a little darker than i anticipated",True,0.042,0.896,0.062,0.0772
Black Mirror: San Junipero,,i was just about to start bly manor but then decided to exercise some self care instead ❤️,True,0.0,0.807,0.193,0.6486
The Haunting of Hill House,,"my very scientific ranking of the siblings:
1. theo: such a baddie with her little gloves. yes queen. ★★★★★ stars
2. nell: has done nothing wrong ever in her life. ★★★★½ stars
3. luke: baby. the glasses! ★★★★ stars
4. shirley: i wouldn’t take the blood money either girl. ★★★★ stars 
5. steve: crain. ★ star",True,0.0,0.911,0.089,0.6449
Stick It,4.5,holds the bronze 🥉 metal in my Movies That Made Me Gay list,True,0.0,0.819,0.181,0.4767
World of Tomorrow Episode Three: The Absent Destinations of David Prime,5.0,“perhaps there is still hope somewhere in the ocean of time for david and emily”,True,0.0,0.828,0.172,0.4404
Minari,4.5,"“i’ll take care of us”
the 2020 film version of the 🥺 emoji. this is so special",True,0.0,0.705,0.295,0.7712
